actions,definitions
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",['Z']
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",['X']
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",['Y']
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]","['Y', 'Z']"
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","['Y', 'X']"
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",['C']
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]","['C', 'Z']"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","['RIGHT', 'Z']"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","['RIGHT', 'X']"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","['RIGHT', 'Y']"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","['RIGHT', 'Y', 'Z']"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","['RIGHT', 'Y', 'X']"
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","['RIGHT', 'C']"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1]","['RIGHT', 'C', 'Z']"
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",['RIGHT']
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",['LEFT']
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","['LEFT', 'Z']"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","['LEFT', 'X']"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",['LEFT']
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","['LEFT', 'Y']"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1]","['LEFT', 'Y', 'Z']"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]","['LEFT', 'Y', 'X']"
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]",['LEFT']
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","['LEFT', 'C']"
"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]","['LEFT', 'C', 'Z']"
